id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
li-4402012858,linkedin,https://www.linkedin.com/jobs/view/4402012858,,React Native Developer,AutomatedPros,,,,,,,,,False,,,,,,,https://ae.linkedin.com/company/automatedpros,,,,,,,,,,,,
li-4400799358,linkedin,https://www.linkedin.com/jobs/view/4400799358,,🏡 Frontend Developer (100% teletrabajo) 🏡,knowmad mood,"Madrid, Community of Madrid, Spain",,,,,,,,False,,,,,,,https://es.linkedin.com/company/knowmad-mood,,,,,,,,,,,,
li-4402023555,linkedin,https://www.linkedin.com/jobs/view/4402023555,,Full Stack Software Engineer,Levanta Labs,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/levantalabs,,,,,,,,,,,,
li-4383878101,linkedin,https://www.linkedin.com/jobs/view/4383878101,,Senior Mobile Application Developer,LMI,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/lmi,,,,,,,,,,,,
li-4401799854,linkedin,https://www.linkedin.com/jobs/view/4401799854,,Staff Mobile Engineer,Turbi,,,,,,,,,False,,,,,,,https://br.linkedin.com/company/turbi,,,,,,,,,,,,
li-4402032274,linkedin,https://www.linkedin.com/jobs/view/4402032274,,React Developer -Javascript,AgileGrid Solutions,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/agilegrid-solutions,,,,,,,,,,,,
li-4401730268,linkedin,https://www.linkedin.com/jobs/view/4401730268,,Quality Assurance Engineer I,Sundayy,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/sundayyglobal,,,,,,,,,,,,
li-4402029104,linkedin,https://www.linkedin.com/jobs/view/4402029104,,Senior Mobile AdTech Engineer (SDK / Embedded Ad Systems) - OPS00067,Dev.Pro,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/dev-pro,,,,,,,,,,,,
li-4402018633,linkedin,https://www.linkedin.com/jobs/view/4402018633,,Senior Mobile AdTech Engineer (SDK / Embedded Ad Systems) - OPS00067,Dev.Pro,"São Paulo, São Paulo, Brazil",,,,,,,,False,,,,,,,https://www.linkedin.com/company/dev-pro,,,,,,,,,,,,
li-4402024418,linkedin,https://www.linkedin.com/jobs/view/4402024418,,Senior Mobile AdTech Engineer (SDK / Embedded Ad Systems) - OPS00067,Dev.Pro,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/dev-pro,,,,,,,,,,,,
li-4402034006,linkedin,https://www.linkedin.com/jobs/view/4402034006,,Senior JavaScript / Prebid Engineer (Web AdTech) - OPS00066,Dev.Pro,"São Paulo, São Paulo, Brazil",,,,,,,,False,,,,,,,https://www.linkedin.com/company/dev-pro,,,,,,,,,,,,
li-4402012923,linkedin,https://www.linkedin.com/jobs/view/4402012923,,Senior JavaScript / Prebid Engineer (Web AdTech) - OPS00066,Dev.Pro,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/dev-pro,,,,,,,,,,,,
li-4402030080,linkedin,https://www.linkedin.com/jobs/view/4402030080,,Senior JavaScript / Prebid Engineer (Web AdTech) - OPS00066,Dev.Pro,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/dev-pro,,,,,,,,,,,,
li-4401103526,linkedin,https://www.linkedin.com/jobs/view/4401103526,,Vue.js Developer - Trabalho Remoto,BairesDev,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/bairesdev,,,,,,,,,,,,
